date,pair,session_date,prev_high,prev_low,close_ny,adr20,atr14,pivot,r1,r2,s1,s2,range_pct
2026-07-28,USDCAD,2026-07-27,1.41269,1.40716,1.41247,0.00535,0.00538,1.41077,1.41439,1.4163,1.40886,1.40524,103.4
2026-07-28,USDCHF,2026-07-27,0.81943,0.81398,0.81932,0.00505,0.00497,0.81758,0.82117,0.82303,0.81572,0.81213,107.9
2026-07-28,NZDUSD,2026-07-27,0.58101,0.57728,0.57746,0.0045,0.00456,0.57858,0.57989,0.58231,0.57616,0.57485,82.9
2026-07-28,AUDNZD,2026-07-27,1.2106,1.20483,1.21044,0.00611,0.00617,1.20862,1.21242,1.21439,1.20665,1.20285,94.4
2026-07-28,XAUUSD,2026-07-27,4116.43,4012.26,4076.96,91.49,94.05,4068.55,4124.84,4172.72,4020.67,3964.38,113.9
2026-07-28,USOIL,2026-07-27,89.35,80.92,81.2,3.97,4.92,83.82,86.73,92.26,78.29,75.39,212.3
2026-07-29,USDJPY,2026-07-28,163.954,163.653,163.87,0.7,0.605,163.825,163.998,164.126,163.697,163.524,43
2026-07-29,EURUSD,2026-07-28,1.14054,1.13542,1.13866,0.00507,0.00522,1.13821,1.14099,1.14333,1.13587,1.13309,101
2026-07-29,GBPUSD,2026-07-28,1.33107,1.32733,1.32906,0.00747,0.00734,1.32915,1.33098,1.33289,1.32724,1.32541,50.1
2026-07-29,EURJPY,2026-07-28,186.691,186.044,186.584,0.739,0.743,186.44,186.836,187.087,186.188,185.792,87.6
2026-07-29,AUDUSD,2026-07-28,0.69972,0.69634,0.6974,0.00403,0.00423,0.69782,0.6993,0.7012,0.69592,0.69444,83.9
2026-07-29,EURGBP,2026-07-28,0.85712,0.85453,0.85673,0.00344,0.00317,0.85613,0.85772,0.85872,0.85513,0.85354,75.3
2026-07-29,USDCAD,2026-07-28,1.41292,1.40865,1.41084,0.00523,0.00531,1.4108,1.41296,1.41507,1.40869,1.40653,81.6
2026-07-29,USDCHF,2026-07-28,0.82056,0.81677,0.81938,0.00505,0.0049,0.8189,0.82104,0.82269,0.81725,0.81511,75
2026-07-29,NZDUSD,2026-07-28,0.57995,0.57625,0.57866,0.00444,0.00449,0.57829,0.58032,0.58199,0.57662,0.57459,83.3
